activity_id,opportunity_id,user_id,type,subject,activity_date,outcome
9d94d716-831d-47ba-8103-32652cfbee30,c64523e2-68ee-4ba5-b510-d11aa4cce915,e59b2c61-87cd-4584-a516-cf537e007e77,LinkedIn,Own TV whose determine.,2025-10-14 20:27:54.811554,Follow-up Scheduled
3b696816-94ba-4050-8aae-4a6525d5c397,4823066b-e6e5-4167-bd62-8c4abe6f3b93,e59b2c61-87cd-4584-a516-cf537e007e77,LinkedIn,Cell seat draw word collection those.,2025-04-23 16:44:18.355008,Positive
bd81dc43-8704-4995-a3dc-62b9900b1b22,42d85d75-610e-45f0-a926-66fd2253d0b2,d5890796-ac76-468e-92d8-09fd70046c44,Call,Land enter economic attack either.,2025-04-30 17:59:34.389395,Follow-up Scheduled
60be4d91-d785-4b9b-aa7c-563b714e745b,ea0581e8-d8d3-4d49-b7d6-b795a5428569,d5890796-ac76-468e-92d8-09fd70046c44,Task,Answer just information.,2025-05-22 01:04:13.329118,Positive
4b4dfea9-67a1-4c68-8533-c522289b4e87,42d85d75-610e-45f0-a926-66fd2253d0b2,d3b6c0c8-89c5-44d9-8eb3-8f1e65e3a809,Email,Manage her national big look.,2026-01-31 21:02:55.476437,Neutral
bce61d42-f17b-43ae-824c-0469636adcdd,dab8f1e8-3297-4bce-a786-239b9ceaf7d4,c80a00e5-95ef-44de-b514-aea8db6912a3,Task,Class available suffer far.,2025-07-16 16:47:00.323125,Positive
9175e991-60ff-44cc-9df0-dbd5a21563af,600e7f17-9ce3-4d54-be0a-398565c6aca6,29cfe3cb-f9b3-48a8-977d-1e56261b4f7d,Email,Avoid color heart.,2025-12-14 15:23:35.091844,Negative
a09bccfa-5db6-4faa-9e5a-6ec7c2990c00,75ed1824-35ee-4b0c-816a-46aeaa47122d,c80a00e5-95ef-44de-b514-aea8db6912a3,Meeting,Walk within full world throw relate.,2025-08-26 19:51:51.586281,Follow-up Scheduled
c812fd8d-a976-4042-94ac-de1248943616,f28ad36f-5eeb-47b8-b71e-e359482cf64f,e59b2c61-87cd-4584-a516-cf537e007e77,Meeting,Parent its approach former.,2026-03-13 04:19:48.720104,Neutral
19ce9921-5009-4488-87a0-f20463d6d70f,15c51013-b552-4084-8c90-c170a94630bb,e59b2c61-87cd-4584-a516-cf537e007e77,Task,Recent reveal role enter example.,2025-06-17 01:16:43.515333,Follow-up Scheduled
